band,coverage,risk,sens,spec
0.0,1.0,0.25396825396825395,0.74,0.7692307692307693
0.01,0.9761904761904762,0.24390243902439024,0.7474747474747475,0.7916666666666666
0.02,0.9682539682539683,0.23770491803278687,0.7474747474747475,0.8260869565217391
0.03,0.9523809523809523,0.23333333333333334,0.7448979591836735,0.8636363636363636
0.04,0.9365079365079365,0.22033898305084745,0.7525773195876289,0.9047619047619048
0.05,0.9126984126984127,0.22608695652173913,0.7446808510638298,0.9047619047619048
0.06,0.8888888888888888,0.22321428571428573,0.7391304347826086,0.95
0.07,0.873015873015873,0.21818181818181817,0.7444444444444445,0.95
0.08,0.8650793650793651,0.22018348623853212,0.7415730337078652,0.95
0.09,0.8492063492063492,0.21495327102803738,0.75,0.9473684210526315
0.1,0.8333333333333334,0.20952380952380953,0.7558139534883721,0.9473684210526315
0.11,0.8253968253968254,0.21153846153846154,0.7558139534883721,0.9444444444444444
0.12,0.8174603174603174,0.21359223300970873,0.7529411764705882,0.9444444444444444
0.13,0.8015873015873016,0.2079207920792079,0.7590361445783133,0.9444444444444444
0.14,0.7777777777777778,0.20408163265306123,0.7654320987654321,0.9411764705882353
0.15,0.7619047619047619,0.20833333333333334,0.759493670886076,0.9411764705882353
0.16,0.7380952380952381,0.20430107526881722,0.7692307692307693,0.9333333333333333
0.17,0.7380952380952381,0.20430107526881722,0.7692307692307693,0.9333333333333333
0.18,0.7222222222222222,0.1978021978021978,0.7692307692307693,1.0
0.19,0.7063492063492064,0.19101123595505617,0.7792207792207793,1.0
0.2,0.6904761904761905,0.1839080459770115,0.7866666666666666,1.0
0.21,0.6904761904761905,0.1839080459770115,0.7866666666666666,1.0
0.22,0.6587301587301587,0.1566265060240964,0.8194444444444444,1.0
0.23,0.626984126984127,0.1518987341772152,0.8235294117647058,1.0
0.24,0.6111111111111112,0.14285714285714285,0.835820895522388,1.0
0.25,0.5793650793650794,0.136986301369863,0.84375,1.0
0.26,0.5555555555555556,0.14285714285714285,0.8412698412698413,1.0
0.27,0.5396825396825397,0.14705882352941177,0.8387096774193549,1.0
0.28,0.5158730158730159,0.12307692307692308,0.864406779661017,1.0
0.29,0.49206349206349204,0.11290322580645161,0.8771929824561403,1.0
0.3,0.4523809523809524,0.10526315789473684,0.8909090909090909,1.0
0.31,0.4444444444444444,0.08928571428571429,0.9074074074074074,1.0
0.32,0.4365079365079365,0.09090909090909091,0.9074074074074074,1.0
0.33,0.42857142857142855,0.09259259259259259,0.9056603773584906,1.0
0.34,0.42063492063492064,0.07547169811320754,0.9230769230769231,1.0
0.35000000000000003,0.42063492063492064,0.07547169811320754,0.9230769230769231,1.0
0.36,0.40476190476190477,0.0784313725490196,0.92,1.0
0.37,0.3968253968253968,0.08,0.9183673469387755,1.0
0.38,0.373015873015873,0.06382978723404255,0.9347826086956522,1.0
0.39,0.36507936507936506,0.043478260869565216,0.9555555555555556,1.0
0.4,0.35714285714285715,0.044444444444444446,0.9545454545454546,1.0
0.41000000000000003,0.3492063492063492,0.022727272727272728,0.9767441860465116,1.0
0.42,0.3333333333333333,0.023809523809523808,0.975609756097561,1.0
